,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
172,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Fairmont Ballroom,43.645538,-79.381735
173,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel,Fairmont Royal York Imperial Room,43.6458796820686,-79.38066638653464
174,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Restaurant,Reign,43.64579,-79.38151
175,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel Pool,The Pool at Shangri-La,43.64925135414941,-79.38559840783742
176,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,Hotel Pool,ST Regis Pool and Spa,43.649868,-79.380295
177,"University of Toronto, Harbord",43.663110000000074,-79.40179999999998,Hotel,Kimpton St. George,43.667367535338556,-79.40062654120706
178,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,Hotel Bar,Hotel Ocho,43.649999794212526,-79.39660870907747
179,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,Hotel,Super 8,43.65083003672464,-79.39773702417429
180,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,Hotel,Studio 6,43.6509061,-79.4013534
181,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,Motel,Grange Hotel,43.6509333200658,-79.40137856619313
182,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,Residential Building (Apartment / Condo),Global Rewards Hotel,43.654639,-79.396046
183,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,Bed & Breakfast,Urban North Inns,43.65597319944109,-79.39261436462402
184,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,Hostel,Chinatown Travelers Home,43.65224152478244,-79.39487553887803
185,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.640820000000076,-79.39817999999997,Hotel,Thompson Hotel,43.64275344306491,-79.40155792422583
186,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.640820000000076,-79.39817999999997,Hotel Bar,Thompson Rooftop Lounge,43.64313322821742,-79.40192258926605
187,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.640820000000076,-79.39817999999997,Café,Thor Espresso Bar,43.641997678128135,-79.4017593502488
188,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.640820000000076,-79.39817999999997,Hotel,Thompson Toronto,43.6426777777778,-79.4020522222222
189,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.640820000000076,-79.39817999999997,Residential Building (Apartment / Condo),Thompson Hotel Residences,43.64336248947072,-79.40084382271021
190,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,Shangri-La Toronto,43.64912919417502,-79.3865566853963
191,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,The Ritz-Carlton,43.645330157595886,-79.38708901405334
192,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,The Fairmont Royal York,43.64544914616651,-79.3815076529019
193,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,Hilton,43.6499459,-79.385479
194,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,Sheraton Centre Toronto Hotel,43.6505944,-79.3845298
195,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Jazz Club,The Rex Hotel Jazz & Blues Bar,43.65050475544005,-79.38857723389897
196,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,The Adelaide Hotel Toronto,43.6498312,-79.3801639
197,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,InterContinental Toronto Centre,43.6444547,-79.3854827
198,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,Hilton Convention Hall Toronto III,43.64973,-79.385912
199,Stn A PO Boxes,43.648690000000045,-79.38543999999995,Hotel,"Royal Suite, Fairmont Royal York",43.64725305659947,-79.38307469732278
