Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Fine Asian Bowl,43.65538660000001,-79.3803264
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,KFC,43.6604,-79.3839
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Pita Pure House,43.658957,-79.385125
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,McDonald's,43.659753,-79.38202
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,City Kitchen,43.65401783830981,-79.37982648714211
Central Bay Street,43.65609000000007,-79.38492999999994,Restaurant,Teriyaki Experience,43.65988429565999,-79.38787892460823
Christie,43.66869000000002,-79.42070999999999,Restaurant,Vinny’s Panini,43.67067884412717,-79.42614819830024
Christie,43.66869000000002,-79.42070999999999,Restaurant,A&W Canada,43.671459999999996,-79.421643
Hillcrest Village,43.802250000000065,-79.35557999999997,Restaurant,Yoko Japanese Korean Restaurant,43.8049821,-79.35461600000001
Thorncliffe Park,43.70142000000004,-79.34904999999998,Restaurant,Hakka Garden,43.70457835126133,-79.34977027417523
Thorncliffe Park,43.70142000000004,-79.34904999999998,Restaurant,Kandahar Kabab,43.70525,-79.348625
Thorncliffe Park,43.70142000000004,-79.34904999999998,Restaurant,Wendy’s,43.70511650379957,-79.3505975604058
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,The Keg Steakhouse + Bar - York Street,43.649986593185695,-79.38410336664538
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,John & Sons Oyster House,43.65065642537144,-79.38161285228475
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,Cactus Club Cafe,43.6495520142626,-79.38167072512041
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,Rosalinda,43.650252483069295,-79.38515575620075
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,Canoe,43.64745206618348,-79.38132001815677
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,Estiatorio Volos,43.650329125599974,-79.38453301297716
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,The Chase,43.6509519820936,-79.37942201983014
"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,Richmond Station,43.65156872562108,-79.37926594000328
